exact_literal	raw_column_a_value	resolved_human_decision	current_master_status	current_master_path	ascii_fold_key	final_action	note
unused breast right adj. 4		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast right adj. 4	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused breast right adj. 5		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast right adj. 5	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused genitalslag01		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused genitalslag01	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused genitalslag02		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused genitalslag02	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused genitalslag03		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused genitalslag03	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused genitalslag04		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused genitalslag04	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused genitalslag05		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused genitalslag05	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused genitalslag06		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused genitalslag06	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused genitalsscrotumlag		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused genitalsscrotumlag	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
AnalHook		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Other	analhook	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Anus.Ring		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	anus.ring	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
AnusRing		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	anusring	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Asshool_1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	asshool_1	MOVE_TO_SEXUAL_BONES	
Asshool_2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshool_2	MOVE_TO_SEXUAL_BONES	
Asshool_3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshool_3	MOVE_TO_SEXUAL_BONES	
Asshool_4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshool_4	MOVE_TO_SEXUAL_BONES	
Asshool_5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshool_5	MOVE_TO_SEXUAL_BONES	
Asshool_6	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshool_6	MOVE_TO_SEXUAL_BONES	
Asshool_7	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshool_7	MOVE_TO_SEXUAL_BONES	
Asshool_8	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	asshool_8	MOVE_TO_SEXUAL_BONES	
Ball		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	ball	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Base		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	base	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
bikini breast left		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	bikini breast left	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
bikini breast right		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	bikini breast right	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
bip_breast_piercing_l		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	bip_breast_piercing_l	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
bip_breast_piercing_r		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	bip_breast_piercing_r	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
bulbus_L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bulbus_l	MOVE_TO_SEXUAL_BONES	
Bulbus_LEFT	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bulbus_left	MOVE_TO_SEXUAL_BONES	
bulbus_R	INCLUDE	INCLUDE	NOT_IN_MASTER		bulbus_r	NOT_IN_MASTER_NO_ACTION	
Bulbus_RIGHT	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bulbus_right	MOVE_TO_SEXUAL_BONES	
BustN		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	bustn	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
butt armor left		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	butt armor left	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
butt armor right		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	butt armor right	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
buttPlug		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Other	buttplug	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Butts	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	butts	MOVE_TO_SEXUAL_BONES	
canin_pen_2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	canin_pen_2	MOVE_TO_SEXUAL_BONES	
canin_pen_6	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	canin_pen_6	MOVE_TO_SEXUAL_BONES	
chesnut_skin	INCLUDE	INCLUDE	NOT_IN_MASTER		chesnut_skin	NOT_IN_MASTER_NO_ACTION	
chestnut	INCLUDE	INCLUDE	NOT_IN_MASTER		chestnut	NOT_IN_MASTER_NO_ACTION	
CockRing.Scrotum		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	cockring.scrotum	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
CockRing.Tip		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	cockring.tip	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Crotch.Front		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	crotch.front	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Crotch.Middle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	crotch.middle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Crotch.Rear		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	crotch.rear	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Dong_Root	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	dong_root	MOVE_TO_SEXUAL_BONES	
Flap3.L	INCLUDE	INCLUDE	NOT_IN_MASTER		flap3.l	NOT_IN_MASTER_NO_ACTION	
Flap3.R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	flap3.r	MOVE_TO_SEXUAL_BONES	
Flap4.L	INCLUDE	INCLUDE	NOT_IN_MASTER		flap4.l	NOT_IN_MASTER_NO_ACTION	
Flap4.R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Other	flap4.r	MOVE_TO_SEXUAL_BONES	
Flm-ArmA-Crotch		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-arma-crotch	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Flm-ArmA-CrotchE		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-arma-crotche	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Head Eye Sack Upper Left		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Face/Expressions	head eye sack upper left	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Head Eye Sack Upper Right		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Face/Upper Face	head eye sack upper right	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Head EyeSack Lower Left		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Face/Eyes	head eyesack lower left	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Head EyeSack Lower Right		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Face/Upper Face	head eyesack lower right	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
jiggleboob	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	jiggleboob	MOVE_TO_SEXUAL_BONES	
jiggleboob2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	jiggleboob2	MOVE_TO_SEXUAL_BONES	
L Bust Spo	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	l bust spo	MOVE_TO_SEXUAL_BONES	
l bust01 sec root	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	l bust01 sec root	MOVE_TO_SEXUAL_BONES	
l bust02 sec	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	l bust02 sec	MOVE_TO_SEXUAL_BONES	
l bust03 sec	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	l bust03 sec	MOVE_TO_SEXUAL_BONES	
l bust04 tip sec	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	l bust04 tip sec	MOVE_TO_SEXUAL_BONES	
LeftBall		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Arms/LeftArm	leftball	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
LeftPectoral_helper		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	leftpectoral_helper	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
limp_1	INCLUDE	INCLUDE	NOT_IN_MASTER		limp_1	NOT_IN_MASTER_NO_ACTION	
limp_2	INCLUDE	INCLUDE	NOT_IN_MASTER		limp_2	NOT_IN_MASTER_NO_ACTION	
limp_3	INCLUDE	INCLUDE	NOT_IN_MASTER		limp_3	NOT_IN_MASTER_NO_ACTION	
Lulu Necklace.Breast_Left		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	lulu necklace.breast_left	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Lulu Necklace.Breast_Right		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	lulu necklace.breast_right	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
penus 1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	penus 1	MOVE_TO_SEXUAL_BONES	
penus 2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	penus 2	MOVE_TO_SEXUAL_BONES	
penus 3	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	penus 3	MOVE_TO_SEXUAL_BONES	
penus 4	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	penus 4	MOVE_TO_SEXUAL_BONES	
penus 5	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	penus 5	MOVE_TO_SEXUAL_BONES	
penus base	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	penus base	MOVE_TO_SEXUAL_BONES	
Piercing.Anus_Ring		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	piercing.anus_ring	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Piercing.Nipple_Ring_Left		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	piercing.nipple_ring_left	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Piercing.Nipple_Ring_Left_jiggle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	piercing.nipple_ring_left_jiggle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Piercing.Nipple_Ring_Right		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	piercing.nipple_ring_right	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Piercing.Nipple_Ring_Right_jiggle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	piercing.nipple_ring_right_jiggle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Piercing.Pussy_Ring		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	piercing.pussy_ring	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Piercing.Pussy_Ring_jiggle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	piercing.pussy_ring_jiggle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
PulledCorset.Left_Breast		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	pulledcorset.left_breast	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
PulledCorset.Right_Breast		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	pulledcorset.right_breast	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
PussParent.002_L.007	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.007	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.008	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.008	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.009	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.009	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.010	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.010	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.011	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.011	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.012	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.012	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.014	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.014	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.016	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.016	MOVE_TO_SEXUAL_BONES	
PussParent.002_L.017	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_l.017	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.007	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.007	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.008	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.008	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.009	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.009	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.010	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.010	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.011	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.011	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.012	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.012	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.014	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.014	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.016	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.016	MOVE_TO_SEXUAL_BONES	
PussParent.002_R.017	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.002_r.017	MOVE_TO_SEXUAL_BONES	
PussParent.006	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.006	MOVE_TO_SEXUAL_BONES	
PussParent.007	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussparent.007	MOVE_TO_SEXUAL_BONES	
Pussy.Ring_Left_Front		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussy.ring_left_front	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Pussy.Ring_Left_Middle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	pussy.ring_left_middle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Pussy.Ring_Left_Rear		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	pussy.ring_left_rear	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Pussy.Ring_Right_Front		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	pussy.ring_right_front	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Pussy.Ring_Right_Middle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	pussy.ring_right_middle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Pussy.Ring_Right_Rear		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pussy.ring_right_rear	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
PussyRing		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	pussyring	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
PussyRing_jiggle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Clothing	pussyring_jiggle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
R Bust Spo		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	r bust spo	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
r bust01 sec root	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	r bust01 sec root	MOVE_TO_SEXUAL_BONES	
r bust02 sec	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	r bust02 sec	MOVE_TO_SEXUAL_BONES	
r bust03 sec	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	r bust03 sec	MOVE_TO_SEXUAL_BONES	
r bust04 tip sec	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	r bust04 tip sec	MOVE_TO_SEXUAL_BONES	
RightBall		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Arms/RightArm	rightball	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
RightPectoral_helper		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	rightpectoral_helper	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Sack_Middle		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	sack_middle	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Sack_Top		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	sack_top	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
Shaft	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	shaft	MOVE_TO_SEXUAL_BONES	
translator		EXCLUDE	NOT_IN_MASTER		translator	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.001		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.001	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.002		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.002	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.003		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.003	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused duplicate duplicate unused.004		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused duplicate duplicate unused.004	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
